ID,AREA,DATA,MUN,DIST,CLAS_CEM,CATEG,INSTANC,NOM_TIPO,NOM_PREP,NOME,NOM_ETIQ,NOM_TP_A,NOM_PR_A,NOM_A,NOM_ET_A,ANO,AREA_M2,AREA_HA,AREA_KM2,GESTAO,OBS,FAIXA_AREA
55802,3.767647,354,SANTO ANDRE,PARANAPIACABA,VERDE 2,PNM,MUNICIPAL,PARQUE NATURAL,,NASCENTES DE PARANAPIACABA,PARQUE NATURAL NASCENTES DE PARANAPIACABA,Parque Natural,,Nascentes de Paranapiacaba,Parque Natural Nascentes de Paranapiacaba,2003.0,3767664,376.766425,3.767664,,PERIMETRO APROXIMADO,>100 ha
55816,0.113969,191,SAO PAULO,CIDADE TIRADENTES,VERDE 4,PARQUE LINEAR,MUNICIPAL,PARQUE,,CONSCIENCIA NEGRA,PARQUE CONSCIENCIA NEGRA,Parque,,Consciência Negra,Parque Consciência Negra,2009.0,113968,11.396878,0.113969,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,10-50 ha
55831,1.36701,437,BERTIOGA,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO BERTIOGA / PARQUE DAS NEBLINAS,PARES SERRA DO MAR - NUCLEO BERTIOGA / PQ DAS NEBLINAS,Parque,da,Serra do Mar - Núcleo Bertioga/Parque das Neblinas,PARES Serra do Mar - Núcleo Bertioga/Parque das Neblinas,1977.0,1366976,136.697688,1.366977,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP / ECOFUTURO,AREA DE SUPERPOSICAO,>100 ha
55847,205.729593,439,BERTIOGA,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO BERTIOGA,PARES SERRA DO MAR - NUCLEO BERTIOGA,Parque,da,Serra do Mar - Núcleo Bertioga,PARES Serra do Mar - Núcleo Bertioga,1977.0,205729424,20572.9424,205.729424,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,,>100 ha
55870,48.590675,436,MOGI DAS CRUZES,TAIACUPEBA,VERDE 1,RESERVA FLORESTAL,PRIVADA,PARQUE,DAS,NEBLINAS,PARQUE DAS NEBLINAS,Parque,das,Neblinas,Parque das Neblinas,2004.0,48590708,4859.0708,48.590708,ECOFUTURO (COMPANHIA SUZANO),"RESERVA AMBIENTAL; RPPN = 5,18 KM2",>100 ha
55888,19.418673,438,BERTIOGA,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO BERTIOGA / PARQUE DAS NEBLINAS,PARES SERRA DO MAR - NUCLEO BERTIOGA / PQ DAS NEBLINAS,Parque,da,Serra do Mar - Núcleo Bertioga/Parque das Neblinas,PARES Serra do Mar - Núcleo Bertioga/Parque das Neblinas,1977.0,19418720,1941.872,19.41872,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP / ECOFUTURO,AREA DE SUPERPOSICAO,>100 ha
55904,1.246885,192,SAO PAULO,MOEMA,VERDE 2,PARQUE URBANO,MUNICIPAL,PARQUE,DO,IBIRAPUERA,PARQUE DO IBIRAPUERA,Parque,do,Ibirapuera,Parque do Ibirapuera,1954.0,1247020,124.702063,1.247021,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,>100 ha
55918,0.034278,193,SAO PAULO,MOEMA,VERDE 5,PRACA,MUNICIPAL,PRACA,,ARMANDO DE SALES OLIVEIRA,PRACA ARMANDO DE SALES OLIVEIRA,Praça,,Armando de Sales Oliveira,Praça Armando de Sales Oliveira,,34278,3.427847,0.034278,,,1-5 ha
84330,4.355612,343,MOGI DAS CRUZES,MOGI DAS CRUZES,VERDE 2,RPPN,PRIVADA,RESERVA PARTICULAR DO PATRIMONIO NATURAL,,BOTUJURU - SERRA DO ITAPETI,RPPN BOTUJURU-SERRA DO ITAPETI,Reserva Particular do Patrimônio Natural,,Botujuru-Serra do Itapeti,RPPN Botujuru-Serra do Itapeti,2014.0,4355782,435.57825,4.355783,,RESERVA PARTICULAR DO PATRIMONIO NATURAL (RPPN),>100 ha
84344,153.454171,355,GUARULHOS,,VERDE 1,PARES,ESTADUAL,PARQUE,,ITABERABA,PARES ITABERABA,Parque Estadual,,Itaberaba,PARES Itaberaba,2010.0,153454032,15345.4032,153.454032,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,,>100 ha
84359,261.034077,441,SALESOPOLIS,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO PADRE DORIA,PARES SERRA DO MAR - NUCLEO PADRE DORIA,Parque,da,Serra do Mar - Núcleo Padre Dória,PARES Serra do Mar - Núcleo Padre Dória,1977.0,261034096,26103.4096,261.034096,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,,>100 ha
84377,3.915519,431,SAO SEBASTIAO,,VERDE 1,PARES,ESTADUAL,PARQUE,DA,SERRA DO MAR - NUCLEO SAO SEBASTIAO,PARES SERRA DO MAR - NUCLEO SAO SEBASTIAO,Parque,da,Serra do Mar - Núcleo São Sebastião,PARES Serra do Mar - Núcleo São Sebastião,1977.0,3915478,391.54785,3.915478,FUNDACAO PARA CONSERVACAO E PRODUCAO FLORESTAL DE SP,SUPERPOSTO POR TERRA INDIGENA,>100 ha
